incident,application,region,prod_line,opened,app_category,priority,urgency,impact,Closed,sup_grp,grp_level,resolved,res_category,cust_time,pend_time,call_log,chat_log
INC000019356860,APP000010022481,R1028,PL1002,2018-11-19 16:40,Software,Priority 4,Low,Limited,2018-11-30 0:10,SG1123,Level 1,2018-11-19 16:53,User knowledge or training error,818,0,,
INC000019062939,APP000010028753,R1028,PL1001,2018-09-19 9:37,Software,Priority 3,High,Limited,2018-10-06 0:03,SG1072,Level 2,2018-09-25 9:46,User Access / Permission,518918,0,,
INC000018992567,APP000010024042,R1007,PL1001,2018-09-05 10:18,Software,Priority 4,Medium,Limited,2018-10-02 0:08,SG1018,Level 2,2018-09-21 5:36,Interface or Middleware,1365441,729624,,
INC000018024079,APP000010013170,R1007,PL1002,2018-02-12 6:06,Software,Priority 4,Low,Limited,2018-02-23 0:12,SG1123,Level 1,2018-02-12 6:59,User Access / Permission,3172,0,,8.31E+17
INC000019408652,APP000010007300,R1016,PL1001,2018-11-29 10:48,Software,Priority 3,High,Limited,2018-12-12 0:02,SG1111,Level 1,2018-12-01 10:22,User knowledge or training error,171274,0,,
INC000019636858,APP000010027175,R1028,PL1001,2019-01-17 17:14,Software,Priority 4,Low,Limited,2019-01-28 0:06,SG1055,Level 1,2019-01-17 19:00,User Access / Permission,6386,0,,
INC000019722707,APP000010029346,R1001,PL1001,2019-02-06 0:46,Software,Priority 3,High,Limited,2019-02-21 0:04,SG1073,Level 2,2019-02-10 22:37,Job Failure,424294,0,,
INC000018395562,APP000010007299,R1016,PL1001,2018-05-07 5:31,Software,Priority 4,Low,Limited,2018-05-21 0:11,SG1141,Level 2,2018-05-10 7:47,Job Failure,267350,0,,
INC000018472189,APP000010007299,R1016,PL1001,2018-05-22 1:02,Software,Priority 4,Low,Limited,2018-06-02 0:15,SG1141,Level 2,2018-05-22 6:27,Job Failure,19477,0,,
INC000018067205,APP000010027900,R1028,PL1001,2018-02-22 4:07,Software,Priority 3,High,Limited,2018-03-05 0:03,SG1049,Level 2,2018-02-22 9:56,Job Failure,20956,0,,
INC000018145808,APP000010007552,R1028,PL1001,2018-03-12 7:54,Software,Priority 4,Medium,Limited,2018-03-25 0:02,SG1103,Level 2,2018-03-14 6:18,Data Issue,166990,93150,,
INC000019363216,APP000010006077,R1016,PL1001,2018-11-20 14:21,Software,Priority 4,Low,Limited,2018-12-14 0:06,SG1062,Level 2,2018-12-03 11:22,User Access / Permission,1112441,256872,,
INC000018498956,APP000010022548,R1028,PL1001,2018-05-27 12:10,Software,Priority 2,High,Large,2018-06-09 0:01,SG1214,Level 2,2018-05-29 3:55,Capacity/ Disk Space,143104,0,,
INC000018952796,APP000010026595,R1007,PL1001,2018-08-28 8:52,Software,Priority 4,Low,Limited,2018-09-08 0:02,SG1246,Level 2,2018-08-28 9:36,Capacity/ Disk Space,2651,0,,
INC000018068577,APP000010027175,R1028,PL1001,2018-02-22 9:11,Software,Priority 4,Low,Limited,2018-03-11 0:04,SG1044,Level 1,2018-02-28 8:49,User Access / Permission,517064,50584,,
INC000018421943,APP000010028753,R1028,PL1001,2018-05-11 10:15,Software,Priority 3,High,Limited,2018-06-11 0:08,SG1079,Level 2,2018-05-31 6:10,Data Issue,1713337,0,,
INC000019747492,APP0006575,R1044,PL1001,2019-02-11 12:53,Software,Priority 4,Low,Limited,2019-02-22 0:18,SG1123,Level 1,2019-02-11 13:18,User Access / Permission,1450,0,,
INC000018588643,APP000010007299,R1016,PL1001,2018-06-13 7:47,Software,Priority 3,High,Limited,2018-06-25 0:08,SG1141,Level 2,2018-06-14 6:41,Job Failure,82454,0,,
INC000018786054,APP000010024042,R1007,PL1001,2018-07-24 7:02,Software,Priority 4,Medium,Limited,2018-08-19 0:08,SG1018,Level 2,2018-08-08 6:20,User knowledge or training error,1293482,754580,,
INC000019588635,APP000010016026,R1001,PL1002,2019-01-09 3:50,Software,Priority 3,High,Limited,2019-01-20 0:08,SG1005,Level 2,2019-01-09 4:24,User Access / Permission,2022,0,,
INC000018354695,APP000010023266,R1001,PL1001,2018-04-26 21:29,Software,Priority 3,High,Limited,2018-05-12 0:08,SG1024,Level 2,2018-05-01 2:31,Job Failure,363725,0,,
INC000018009489,APP000010027488,R1001,PL1001,2018-02-08 0:42,Software,Priority 4,Low,Limited,2018-02-19 0:12,SG1123,Level 1,2018-02-08 1:11,User knowledge or training error,1730,0,,8.31E+17
INC000018817979,APP000010029346,R1001,PL1001,2018-07-31 3:18,Software,Priority 3,High,Limited,2018-08-18 0:07,SG1034,Level 2,2018-08-07 6:31,Change Implementation,616410,517884,,
INC000017862390,APP0020188,R1001,PL1001,2018-01-09 3:09,Software,Priority 3,High,Limited,2018-01-21 0:14,SG1226,Level 2,2018-01-10 6:55,Data Issue,99963,0,,
INC000018694488,APP000010007299,R1016,PL1001,2018-07-04 21:16,Software,Priority 4,Low,Limited,2018-07-17 0:08,SG1141,Level 2,2018-07-06 8:39,Data Issue,127434,0,,
INC000018136446,APP000010026365,R1028,PL1001,2018-03-08 23:49,Software,Priority 3,High,Limited,2018-03-20 0:01,SG1116,Level 3,2018-03-09 0:15,Data Issue,1579,0,,
INC000018885501,APP000010007552,R1028,PL1001,2018-08-14 6:14,Software,Priority 4,Medium,Limited,2018-08-27 0:03,SG1114,Level 3,2018-08-16 11:20,Job Failure,191147,31980,,
INC000019453418,APP000010027418,R1016,PL1001,2018-12-07 6:32,Software,Priority 3,High,Limited,2019-01-04 0:00,SG1062,Level 2,2018-12-24 3:28,Data Issue,1457787,0,,
INC000018321003,APP000010006077,R1016,PL1001,2018-04-19 17:38,Software,Priority 4,Low,Limited,2018-04-30 0:08,SG1123,Level 1,2018-04-19 18:02,User Access / Permission,1449,0,,8.31E+17
INC000018558178,APP000010007299,R1016,PL1001,2018-06-07 4:42,Software,Priority 4,Low,Limited,2018-06-19 0:16,SG1141,Level 2,2018-06-08 3:02,Job Failure,80346,0,,
INC000018763546,APP000010022548,R1028,PL1001,2018-07-19 0:07,Software,Priority 3,High,Limited,2018-08-08 0:01,SG1115,Level 3,2018-07-28 4:07,Job Failure,792005,0,,
INC000019663872,APP000010027175,R1028,PL1001,2019-01-23 12:39,Software,Priority 4,Low,Limited,2019-02-03 0:02,SG1055,Level 1,2019-01-23 13:09,User Access / Permission,1827,0,,
INC000018209792,APP000010028753,R1028,PL1001,2018-03-26 15:27,Software,Priority 3,High,Limited,2018-04-15 0:06,SG1079,Level 2,2018-04-04 7:00,Data Issue,747201,0,,
INC000019717644,APP0006575,R1044,PL1001,2019-02-05 2:39,Software,Priority 4,Low,Limited,2019-02-16 0:14,SG1123,Level 1,2019-02-05 3:17,Software Incompatibility,2262,0,,
INC000018770073,APP000010020282,R1028,PL1001,2018-07-20 3:53,Software,Priority 4,Medium,Limited,2018-08-01 0:03,SG1040,Level 1,2018-07-21 9:38,Job Failure,107095,102892,,
INC000019226441,APP000010023266,R1001,PL1001,2018-10-23 4:20,Software,Priority 3,High,Limited,2018-11-09 0:08,SG1073,Level 2,2018-10-29 0:13,Data Issue,503543,0,,
INC000017891544,APP000010027488,R1001,PL1001,2018-01-15 1:31,Software,Priority 3,High,Limited,2018-04-22 0:05,SG1034,Level 2,2018-04-11 6:29,Change Implementation,7444668,529255,,
INC000018018069,APP000010007300,R1016,PL1001,2018-02-09 12:52,Software,Priority 3,High,Limited,2018-03-10 0:10,SG1111,Level 1,2018-02-27 2:40,Application Defect (SDLC activities),1518441,487539,,
INC000018479621,APP000010026365,R1028,PL1001,2018-05-23 2:53,Software,Priority 4,Medium,Limited,2018-06-03 0:03,SG1116,Level 3,2018-05-23 3:13,User knowledge or training error,1175,0,,
INC000018100997,APP0005003,R1007,PL1001,2018-03-01 7:23,Software,Priority 3,High,Limited,2018-03-13 0:07,SG1145,Level 2,2018-03-02 9:11,Data Issue,92895,0,,
INC000019424976,APP000010007299,R1016,PL1001,2018-12-03 9:05,Software,Priority 3,High,Limited,2018-12-16 0:02,SG1062,Level 2,2018-12-05 5:05,Configuration Error,158376,0,,
INC000018296983,APP000010007552,R1028,PL1001,2018-04-15 20:04,Software,Priority 4,Low,Limited,2018-04-27 0:04,SG1114,Level 3,2018-04-16 13:10,User knowledge or training error,61530,0,,
INC000018903183,APP000010027423,R1016,PL1001,2018-08-17 7:17,Software,Priority 3,High,Limited,2018-08-31 0:01,SG1129,Level 2,2018-08-20 3:32,Data Issue,245702,0,,
INC000018367192,APP000010022548,R1028,PL1001,2018-04-30 14:40,Software,Priority 3,High,Limited,2018-05-25 0:04,SG1214,Level 2,2018-05-14 10:13,Configuration Error,1193571,0,,
INC000018954735,APP000010007299,R1016,PL1001,2018-08-28 14:23,Software,Priority 3,High,Limited,2018-09-09 0:05,SG1141,Level 2,2018-08-29 14:15,Data Issue,85868,0,,
INC000018582002,APP000010020282,R1028,PL1001,2018-06-12 6:04,Software,Priority 4,Low,Limited,2018-06-24 0:06,SG1040,Level 1,2018-06-13 8:15,Interface or Middleware,94249,0,,
INC000019484142,APP000010024042,R1007,PL1001,2018-12-13 11:31,Software,Priority 4,Low,Limited,2018-12-29 0:08,SG1072,Level 2,2018-12-18 10:05,User Access / Permission,426832,0,,8.31E+17
INC000018768814,APP000010016112,R1028,PL1001,2018-07-19 20:53,Software,Priority 3,High,Limited,2018-08-03 0:00,SG1112,Level 2,2018-07-23 2:30,Data Issue,279440,3121,,
INC000018271518,APP000010023266,R1001,PL1001,2018-04-09 20:39,Software,Priority 3,High,Limited,2018-04-21 0:12,SG1024,Level 2,2018-04-10 3:13,Job Failure,23659,0,,
INC000018186084,APP000010006077,R1016,PL1001,2018-03-20 15:51,Software,Priority 4,Low,Large,2018-04-01 0:15,SG1123,Level 1,2018-03-21 14:33,User Access / Permission,81712,0,,
INC000017826207,APP000010007300,R1016,PL1001,2018-01-01 22:09,Software,Priority 4,Low,Limited,2018-01-13 0:15,SG1041,Level 1,2018-01-02 0:45,Connectivity,9337,0,,8.31E+17
INC000018304521,APP0025086,R1016,PL1002,2018-04-16 23:59,Software,Priority 4,Low,Limited,2018-05-07 0:04,SG1158,Level 2,2018-04-26 16:48,Data Issue,838140,822137,,
INC000018337503,APP000010007299,R1016,PL1001,2018-04-24 3:00,Software,Priority 3,High,Limited,2018-05-05 0:11,SG1141,Level 2,2018-04-24 5:55,Job Failure,10504,0,,
INC000017965333,APP000010026365,R1028,PL1001,2018-01-30 4:15,Software,Priority 4,Low,Limited,2018-02-25 0:08,SG1044,Level 1,2018-02-14 8:05,Data Issue,1309809,708052,,
INC000018834627,APP000010007299,R1016,PL1001,2018-08-02 14:29,Software,Priority 3,High,Limited,2018-08-17 0:03,SG1141,Level 2,2018-08-06 7:06,Physical environmental failure,318996,0,,
INC000018329006,APP000010016112,R1028,PL1001,2018-04-22 20:45,Software,Priority 3,High,Limited,2018-05-06 0:13,SG1112,Level 2,2018-04-25 2:49,Data Issue,194660,80990,,
INC000018023598,APP000010024042,R1007,PL1001,2018-02-12 5:04,Software,Priority 4,Low,Limited,2018-02-26 0:10,SG1044,Level 1,2018-02-15 14:01,Data Issue,291450,193813,,
INC000019125457,APP000010007552,R1028,PL1001,2018-10-02 5:57,Software,Priority 4,Low,Limited,2018-10-15 0:03,SG1073,Level 2,2018-10-04 4:38,Data Issue,168088,0,,
INC000018480924,APP000010027175,R1028,PL1001,2018-05-23 7:36,Software,Priority 4,Low,Limited,2018-06-09 0:03,SG1116,Level 3,2018-05-29 8:25,Application Defect (SDLC activities),521350,0,,
INC000017895303,APP000010028753,R1028,PL1001,2018-01-15 11:03,Software,Priority 3,High,Limited,2018-02-03 0:11,SG1079,Level 2,2018-01-23 9:01,Data Issue,683872,0,,
INC000018089149,APP000010020282,R1028,PL1001,2018-02-27 8:34,Software,Priority 3,High,Limited,2018-03-10 0:07,SG1202,Level 2,2018-02-27 9:35,Data Issue,3644,0,,
INC000018959567,APP000010027900,R1028,PL1001,2018-08-29 9:40,Software,Priority 3,High,Limited,2018-09-11 0:07,SG1112,Level 2,2018-08-31 9:57,Job Failure,173791,0,,
INC000019174337,APP000010016112,R1028,PL1001,2018-10-11 20:41,Software,Priority 3,High,Limited,2018-10-27 0:00,SG1112,Level 2,2018-10-16 5:54,Data Issue,378798,0,,
INC000018642450,APP000010023266,R1001,PL1001,2018-06-24 23:51,Software,Priority 3,High,Limited,2018-07-07 0:14,SG1034,Level 2,2018-06-26 0:50,Data Issue,89896,0,,
INC000018949597,APP000010027488,R1001,PL1001,2018-08-27 20:59,Software,Priority 3,High,Limited,2018-09-07 0:05,SG1024,Level 2,2018-08-27 21:33,Job Failure,2032,76,,
INC000019626706,APP000010006077,R1016,PL1001,2019-01-16 6:21,Software,Priority 3,Medium,Large,2019-01-28 0:10,SG1062,Level 2,2019-01-17 9:06,Data Issue,96346,0,,
INC000018525768,APP000010027175,R1028,PL1001,2018-06-01 4:58,Software,Priority 4,Low,Limited,2018-06-15 0:23,SG1044,Level 1,2018-06-04 3:55,User knowledge or training error,255398,249167,,
INC000018642717,APP000010021404,R1016,PL1001,2018-06-25 1:08,Software,Priority 3,High,Limited,2018-07-07 0:08,SG1112,Level 2,2018-06-26 6:19,User Access / Permission,105030,7842,,
INC000017978239,APP0005003,R1007,PL1001,2018-02-01 5:13,Software,Priority 3,High,Limited,2018-02-17 0:03,SG1145,Level 2,2018-02-06 10:22,Data Issue,450567,86183,,
INC000018513992,APP000010016112,R1028,PL1001,2018-05-30 7:13,Software,Priority 3,High,Limited,2018-06-14 0:05,SG1112,Level 2,2018-06-03 23:46,Connectivity,405203,0,,
INC000019012801,APP000010007552,R1028,PL1001,2018-09-10 3:49,Software,Priority 4,Low,Large,2018-09-23 0:02,SG1073,Level 2,2018-09-12 12:27,Data Issue,203881,36356,,
INC000017893692,APP000010022869,R1001,PL1001,2018-01-15 7:52,Software,Priority 3,High,Limited,2018-01-28 0:14,SG1033,Level 2,2018-01-17 7:43,Data Issue,172293,0,,
INC000018670354,APP000010022548,R1028,PL1001,2018-06-29 6:48,Software,Priority 3,High,Limited,2018-07-10 0:03,SG1079,Level 2,2018-06-29 8:01,Job Failure,4343,0,,
INC000019556491,APP000010027175,R1028,PL1001,2019-01-02 19:45,Software,Priority 4,Low,Limited,2019-01-13 0:02,SG1055,Level 1,2019-01-02 20:41,User Access / Permission,3364,0,,
INC000019004086,APP000010020282,R1028,PL1001,2018-09-07 2:47,Software,Priority 3,High,Limited,2018-09-18 0:07,SG1040,Level 1,2018-09-07 6:27,Job Failure,13209,0,,
INC000018061783,APP000010027488,R1001,PL1001,2018-02-21 4:22,Software,Priority 4,Low,Limited,2018-03-12 0:06,SG1034,Level 2,2018-03-01 10:07,Data Issue,711864,196556,,
INC000019398506,APP000010007300,R1016,PL1001,2018-11-27 23:55,Software,Priority 3,High,Limited,2018-12-11 0:08,SG1111,Level 1,2018-11-30 3:21,User knowledge or training error,185133,0,,
INC000018239413,APP000010022869,R1001,PL1001,2018-04-02 19:33,Software,Priority 4,Low,Limited,2018-04-15 0:01,SG1033,Level 2,2018-04-04 2:23,Job Failure,110979,0,,
INC000018400544,APP000010021404,R1016,PL1001,2018-05-07 20:29,Software,Priority 3,High,Limited,2018-05-19 0:10,SG1052,Level 2,2018-05-08 8:32,User Access / Permission,43369,24006,,
INC000018349697,APP000010026365,R1028,PL1001,2018-04-26 2:50,Software,Priority 3,High,Limited,2018-05-07 0:09,SG1116,Level 3,2018-04-26 3:24,Data Issue,2036,0,,
INC000018535437,APP0005003,R1007,PL1001,2018-06-04 6:08,Software,Priority 3,High,Limited,2018-06-19 0:07,SG1145,Level 2,2018-06-08 10:03,Data Issue,359696,21736,,
INC000018969513,APP000010016112,R1028,PL1001,2018-08-31 2:29,Software,Priority 3,High,Limited,2018-09-13 0:02,SG1112,Level 2,2018-09-02 23:05,Data Issue,246919,0,,
INC000017912152,APP000010027900,R1028,PL1001,2018-01-18 5:18,Software,Priority 3,High,Limited,2018-01-30 0:13,SG1049,Level 2,2018-01-19 3:30,Data Issue,79924,0,,
INC000019117630,APP000010007552,R1028,PL1001,2018-10-01 2:48,Software,Priority 4,Low,Limited,2018-10-15 0:03,SG1073,Level 2,2018-10-04 6:33,Data Issue,272686,0,,
INC000019406738,APP000010027423,R1016,PL1001,2018-11-29 5:15,Software,Priority 4,Low,Limited,2018-12-10 0:07,SG1123,Level 1,2018-11-29 5:37,Job Failure,1344,0,,8.31E+17
INC000018056806,APP000010029690,R1028,PL1002,2018-02-20 6:58,Software,Priority 2,High,Large,2018-03-03 0:06,SG1161,Level 2,2018-02-20 20:03,Connectivity,47114,10205,,
INC000019586541,APP000010027175,R1028,PL1001,2019-01-08 18:05,Software,Priority 4,Low,Limited,2019-01-19 0:02,SG1055,Level 1,2019-01-08 18:20,User Access / Permission,924,0,,
INC000018281833,APP0006896,R1028,PL1002,2018-04-11 12:31,Software,Priority 4,Low,Limited,2018-04-22 0:01,SG1123,Level 1,2018-04-11 12:37,Connectivity,388,0,,8.31E+17
INC000017853501,APP000010007299,R1016,PL1001,2018-01-07 20:04,Software,Priority 3,High,Limited,2018-01-18 0:03,SG1141,Level 2,2018-01-07 23:51,Configuration Error,13623,0,,
INC000018664310,APP000010020282,R1028,PL1001,2018-06-28 6:56,Software,Priority 3,High,Limited,2018-07-09 0:12,SG1116,Level 3,2018-06-28 7:46,Data Issue,3001,0,,
INC000018271539,APP000010023266,R1001,PL1001,2018-04-09 20:50,Software,Priority 3,High,Limited,2018-05-01 0:14,SG1024,Level 2,2018-04-20 1:55,Job Failure,882307,0,,
INC000018817996,APP000010029346,R1001,PL1001,2018-07-31 3:21,Software,Priority 3,High,Limited,2018-08-20 0:11,SG1034,Level 2,2018-08-09 5:44,Data Issue,786222,689061,,
INC000017894289,APP000010026365,R1028,PL1001,2018-01-15 9:07,Software,Priority 3,High,Limited,2018-01-26 0:16,SG1116,Level 3,2018-01-15 9:18,Job Failure,656,0,,
INC000018778965,APP000010016112,R1028,PL1001,2018-07-23 7:08,Software,Priority 4,Low,Limited,2018-08-04 0:09,SG1112,Level 2,2018-07-24 3:17,Data Issue,72537,0,,
INC000017859113,APP000010024042,R1007,PL1001,2018-01-08 12:58,Software,Priority 3,High,Limited,2018-01-22 0:10,SG1018,Level 2,2018-01-11 11:04,User knowledge or training error,252363,0,,
INC000019500380,APP000010032982,R1028,PL1002,2018-12-17 15:24,Software,Priority 4,Low,Limited,2018-12-28 0:05,SG1088,Level 2,2018-12-17 15:53,Data Issue,1762,0,,
INC000019028996,APP000010007552,R1028,PL1001,2018-09-12 10:57,Software,Priority 4,Low,Limited,2018-09-24 0:04,SG1073,Level 2,2018-09-13 12:23,Data Issue,91577,0,,
INC000019215734,APP000010022869,R1001,PL1001,2018-10-21 1:54,Software,Priority 4,Low,Limited,2018-11-01 0:05,SG1033,Level 2,2018-10-21 2:47,Data Issue,3178,0,,
INC000018588207,APP000010029783,R1028,PL1001,2018-06-13 6:04,Software,Priority 3,High,Limited,2018-06-24 0:03,SG1214,Level 2,2018-06-13 14:44,Data Issue,31201,0,,
INC000017915421,APP000010006077,R1016,PL1001,2018-01-18 15:40,Software,Priority 3,High,Limited,2018-01-30 0:17,SG1106,Level 2,2018-01-19 9:05,Data Issue,62668,0,,
INC000019771183,APP000010027175,R1028,PL1001,2019-02-15 11:58,Software,Priority 4,Low,Limited,2019-02-26 0:04,SG1055,Level 1,2019-02-15 12:14,User Access / Permission,955,0,,
INC000019354743,APP000010028753,R1028,PL1001,2018-11-19 10:24,Software,Priority 3,High,Limited,2018-12-11 0:09,SG1072,Level 2,2018-11-30 12:40,Data Issue,958515,0,,
INC000018237547,APP0006896,R1028,PL1002,2018-04-02 11:41,Software,Priority 4,Low,Limited,2018-04-13 0:04,SG1123,Level 1,2018-04-02 11:54,Connectivity,798,0,,
INC000018937191,APP000010020342,R1007,PL1001,2018-08-24 9:02,Software,Priority 4,Low,Limited,2018-09-04 0:03,SG1123,Level 1,2018-08-24 9:11,User Access / Permission,523,0,,
INC000018361364,APP000010025582,R1028,PL1001,2018-04-28 16:55,Software,Priority 2,High,Large,2018-05-09 0:04,SG1079,Level 2,2018-04-28 20:00,Job Failure,11085,0,,
INC000018878621,APP000010016112,R1028,PL1001,2018-08-13 5:55,Software,Priority 4,Low,Limited,2018-08-26 0:00,SG1112,Level 2,2018-08-15 6:26,Interface or Middleware,174669,0,,
INC000018581070,APP000010023266,R1001,PL1001,2018-06-12 2:56,Software,Priority 3,High,Limited,2018-07-23 0:10,SG1034,Level 2,2018-07-12 2:09,Job Failure,2589194,2571,,
INC000019094793,APP000010027488,R1001,PL1001,2018-09-25 20:35,Software,Priority 3,High,Limited,2018-10-09 0:05,SG1073,Level 2,2018-09-28 8:02,High Memory Utilization,214022,0,,
INC000017934866,APP000010006077,R1016,PL1001,2018-01-23 12:03,Software,Priority 3,High,Limited,2018-03-17 0:19,SG1106,Level 2,2018-03-06 5:21,Data Issue,3604659,2012766,,
INC000019630332,APP000010007300,R1016,PL1001,2019-01-16 15:57,Software,Priority 4,Low,Limited,2019-01-29 0:09,SG1111,Level 1,2019-01-18 1:16,User Access / Permission,119913,0,,8.31E+17
INC000018802130,APP000010029346,R1001,PL1001,2018-07-26 22:36,Software,Priority 3,High,Limited,2018-08-11 0:09,SG1034,Level 2,2018-07-31 1:54,Data Issue,357491,0,,
INC000018202041,APP000010021404,R1016,PL1001,2018-03-23 19:55,Software,Priority 3,High,Limited,2018-04-06 0:10,SG1052,Level 2,2018-03-26 3:52,User Access / Permission,201366,326,,
INC000018218373,APP000010026365,R1028,PL1001,2018-03-28 3:12,Software,Priority 4,Low,Limited,2018-04-08 0:09,SG1116,Level 3,2018-03-28 4:00,Data Issue,2835,0,,
INC000018513292,APP0005003,R1007,PL1001,2018-05-30 4:41,Software,Priority 3,High,Limited,2018-06-12 0:07,SG1145,Level 2,2018-06-01 11:26,Data Issue,197113,0,,
INC000018193088,APP0006052,R1024,PL1001,2018-03-22 3:04,Software,Priority 4,Low,Limited,2018-04-02 0:04,SG1040,Level 1,2018-03-22 8:43,User Access / Permission,20353,16600,,
INC000019162594,APP000010016112,R1028,PL1001,2018-10-09 23:33,Software,Priority 3,High,Limited,2018-10-22 0:10,SG1248,Level 2,2018-10-11 2:12,Data Issue,95965,0,,
INC000018194875,APP000010024042,R1007,PL1001,2018-03-22 9:32,Software,Priority 3,High,Limited,2018-04-08 0:07,SG1018,Level 2,2018-03-28 9:11,User Access / Permission,517103,185131,,
